alacritty 0.15.1-1
amd-ucode 20250808-1
base 3-2
base-devel 1-2
bc 1.08.2-1
bind 9.20.13-1
bitwarden 2025.8.1-1
bluez 5.83-1
bluez-utils 5.83-1
brave-bin 1:1.82.166-1
brightnessctl 0.5.1-3
btop 1.4.4-1
calibre 8.7.0-2
cheese 44.1-5
clang 20.1.8-1
clipmenu 6.2.0-3
cryptsetup 2.8.1-1
ctags 1:6.2.0-1
devpod 0.5.21-1
dhcpcd 10.2.4-1
discord 1:0.0.110-1
dive 0.13.1-1
dmenu 5.4-1
docker 1:28.4.0-1
docker-buildx 0.28.0-1
docker-compose 2.39.3-1
dosfstools 4.2-5
fd 10.3.0-1
feh 3.11.2-1
firefox 142.0.1-1
fzf 0.65.2-1
gdb 16.3-1
git 2.51.0-1
gnu-netcat 0.7.1-12
grayjay-bin 9-1
i3-wm 4.24-1
i3lock 2.15-3
i3status 2.15-1
imagemagick 7.1.2.3-1
inetutils 2.6-1
iwd 3.9-1
jq 1.8.1-1
kitty 0.42.2-1
libisoburn 1.5.6-1
linux 6.16.7.arch1-1
linux-firmware 20250808-1
linux-headers 6.16.7.arch1-1
lshw B.02.20-1
lsof 4.99.5-2
lua51 5.1.5-13
luarocks 3.12.2-1
lvm2 2.03.35-1
maim 5.8.1-2
man-db 2.13.1-1
man-pages 6.15-1
mokutil 0.7.2-2
mpv 1:0.40.0-5
neovim 0.11.4-1
net-tools 2.10-3
nmap 7.97-1
noto-fonts-emoji 1:2.051-1
npm 11.6.0-1
obs-studio 31.1.2-1
obsidian 1.9.12-1
ollama 0.11.11-1
openssh 10.0p1-4
pandoc-cli 3.2-54
pass 1.7.4-7
pavucontrol 1:6.1-1
picom 12.5-3
podman 5.6.1-1
postgresql 17.5-5
postman-bin 11.63.0-1
procinfo-ng 2.0.304-9
pulseaudio 17.0+r43+g3e2bb8a1e-1
pulseaudio-alsa 1:1.2.12-4
pulseaudio-bluetooth 17.0+r43+g3e2bb8a1e-1
python-bcrypt 4.3.0-1
python-lsp-server 1.12.2-1
python-passlib 1.7.4-10
python-pip 25.2-1
python-pynvim 0.6.0-1
qemu-desktop 10.1.0-1
qutebrowser 3.5.1-2
radare2 5.9.8-1
ranger 1.9.4-4
ripgrep 14.1.1-1
rlwrap 0.47.1-1
rsync 3.4.1-2
rust-analyzer 20250825-1
scrot 1.12.1-1
slack-desktop 4.45.69-1
slop 7.7-1
spotify-launcher 0.6.3-2
sudo 1.9.17.p1-1
syslinux 6.04.pre3.r3.g05ac953c-4
systemd-resolvconf 257.9-1
tcpdump 4.99.5-1
telegram-desktop 6.1.3-1
texinfo 7.2-1
texlive-basic 2025.2-2
texlive-xetex 2025.2-2
tigervnc 1.15.0-3
tldr 3.4.2-1
tmux 3.5_a-1
tor 0.4.8.17-2
torbrowser-launcher 0.3.7-3
traceroute 2.1.6-1
tree 2.2.1-1
ttf-twemoji 16.0.1-1
unzip 6.0-23
valgrind 3.25.1-3
vim 9.1.1734-1
virtualbox 7.2.2-1
vscodium-bin 1.104.06131-1
wget 1.25.0-2
whatsie 4.16.3-1
whois 5.6.4-1
wireshark-qt 4.4.9-1
woff2-font-awesome 7.0.1-1
xclip 0.13-6
xf86-video-vesa 2.6.0-2
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.18-2
xorg-server-common 21.1.18-2
xorg-server-devel 21.1.18-2
xorg-server-xephyr 21.1.18-2
xorg-server-xnest 21.1.18-2
xorg-server-xvfb 21.1.18-2
xorg-sessreg 1.1.4-1
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.8-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.9-1
xorg-xdpyinfo 1.4.0-1
xorg-xdriinfo 1.0.8-1
xorg-xev 1.2.6-1
xorg-xgamma 1.0.8-1
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.8-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
yay-bin 12.5.0-1
yt-dlp 2025.09.05-1
zathura 0.5.12-1
zathura-pdf-poppler 0.3.3-5
zsh 5.9-5
